,0,1,2
0,so,there,is
1,is,no,way
2,no,way,for
3,way,for,me
4,for,me,to
5,me,to,plug
6,it,in,here
7,in,here,in
8,in,the,us
9,the,us,unless
10,us,unless,i
11,unless,i,go
12,i,go,by
13,go,by,a
14,by,a,convert
15,good,case,excel
16,case,excel,valu
17,great,for,the
18,for,the,jawbon
19,tie,to,charger
20,to,charger,for
21,charger,for,convers
22,for,convers,last
23,convers,last,more
24,last,more,than
25,than,minut,major
26,minut,major,problem
27,the,mic,is
28,mic,is,great
29,have,to,jiggl
30,to,jiggl,the
31,jiggl,the,plug
32,the,plug,to
33,plug,to,get
34,it,to,line
35,to,line,up
36,line,up,right
37,up,right,to
38,right,to,get
39,to,get,decent
40,get,decent,volum
41,if,you,have
42,you,have,sever
43,have,sever,dozen
44,sever,dozen,or
45,or,sever,hundr
46,sever,hundr,contact
47,hundr,contact,then
48,contact,then,imagin
49,then,imagin,the
50,imagin,the,fun
51,the,fun,of
52,fun,of,send
53,of,send,each
54,each,of,them
55,of,them,one
56,them,one,by
57,one,by,one
58,you,are,razr
59,are,razr,owner
60,razr,owner,you
61,owner,you,must
62,you,must,have
63,must,have,this
64,needless,to,say
65,to,say,i
66,say,i,wast
67,money,what,a
68,of,money,and
69,and,time,and
70,qualiti,is,great
71,he,was,veri
72,veri,impress,when
73,impress,when,go
74,when,go,from
75,go,from,the
76,from,the,origin
77,origin,batteri,to
78,batteri,to,the
79,to,the,extend
80,the,extend,batteri
81,batteri,if,the
82,if,the,two
83,the,two,were
84,two,were,seper
85,were,seper,by
86,seper,by,a
87,by,a,mere
88,a,mere,ft
89,mere,ft,i
90,ft,i,start
91,i,start,to
92,start,to,notic
93,to,notic,excess
94,notic,excess,static
95,excess,static,and
96,static,and,garbl
97,and,garbl,sound
98,garbl,sound,from
99,sound,from,the
100,the,headset,veri
101,headset,veri,good
102,veri,good,qualiti
103,good,qualiti,though
104,is,veri,odd
105,veri,odd,as
106,odd,as,the
107,as,the,ear
108,the,ear,clip
109,ear,clip,is
110,clip,is,not
111,is,not,veri
112,not,veri,comfort
113,veri,comfort,at
114,comfort,at,all
115,high,recommend,for
116,recommend,for,ani
117,for,ani,one
118,ani,one,who
119,one,who,has
120,who,has,a
121,has,a,blue
122,a,blue,tooth
123,blue,tooth,phone
124,i,advis,everyon
125,advis,everyon,do
126,everyon,do,not
127,do,not,be
128,not,be,fool
129,good,work,great
130,it,click,into
131,click,into,place
132,into,place,in
133,place,in,a
134,in,a,way
135,a,way,that
136,way,that,make
137,that,make,you
138,make,you,wonder
139,you,wonder,how
140,wonder,how,long
141,how,long,that
142,long,that,mechan
143,that,mechan,would
144,mechan,would,last
145,i,went,on
146,went,on,motorola
147,on,motorola,s
148,motorola,s,websit
149,s,websit,and
150,websit,and,follow
151,and,follow,all
152,follow,all,direct
153,all,direct,but
154,direct,but,could
155,but,could,not
156,not,get,it
157,it,to,pair
158,to,pair,again
159,pair,again,i
160,bought,this,to
161,this,to,use
162,to,use,with
163,use,with,my
164,with,my,kindl
165,my,kindl,fire
166,kindl,fire,and
167,fire,and,absolut
168,and,absolut,love
169,absolut,love,it
170,love,it,the
171,the,commerci,are
172,are,the,most
173,the,most,mislead
174,i,have,yet
175,have,yet,to
176,yet,to,run
177,to,run,this
178,run,this,new
179,this,new,batteri
180,new,batteri,below
181,batteri,below,two
182,below,two,bar
183,two,bar,and
184,bar,and,that
185,and,that,s
186,that,s,three
187,s,three,day
188,three,day,without
189,day,without,charg
190,without,charg,i
191,charg,i,bought
192,bought,it,for
193,for,my,mother
194,my,mother,and
195,mother,and,she
196,and,she,had
197,she,had,a
198,had,a,problem
199,with,the,batteri
200,the,batteri,great
201,great,pocket,pc
202,pocket,pc,phone
203,pc,phone,combin
204,i,ve,own
205,ve,own,this
206,own,this,phone
207,phone,for,month
208,month,now,and
209,now,and,can
210,and,can,say
211,can,say,that
212,say,that,it
213,that,it,s
214,it,s,the
215,s,the,best
216,the,best,mobil
217,best,mobil,phone
218,mobil,phone,i
219,didn,t,think
220,t,think,that
221,think,that,the
222,that,the,instruct
223,the,instruct,provid
224,instruct,provid,were
225,provid,were,help
226,were,help,to
227,help,to,me
228,to,me,peopl
229,me,peopl,couldnt
230,peopl,couldnt,hear
231,couldnt,hear,me
232,hear,me,talk
233,me,talk,and
234,talk,and,i
235,to,pull,out
236,pull,out,the
237,out,the,earphon
238,the,earphon,and
239,earphon,and,talk
240,and,talk,on
241,talk,on,the
242,doesn,t,hold
243,t,hold,charg
244,hold,charg,this
245,charg,this,is
246,is,a,simpl
247,a,simpl,littl
248,simpl,littl,phone
249,littl,phone,to
250,phone,to,use
251,to,use,but
252,use,but,the
253,but,the,breakag
254,the,breakag,is
255,breakag,is,unaccept
256,is,unaccept,this
257,product,is,ideal
258,is,ideal,for
259,ideal,for,peopl
260,for,peopl,like
261,peopl,like,me
262,like,me,whose
263,me,whose,ear
264,whose,ear,are
265,ear,are,veri
266,are,veri,sensit
267,it,is,unus
268,is,unus,in
269,unus,in,a
270,in,a,move
271,a,move,car
272,move,car,at
273,car,at,freeway
274,at,freeway,speed
275,i,have,two
276,have,two,more
277,two,more,year
278,more,year,left
279,year,left,in
280,left,in,this
281,in,this,contract
282,this,contract,and
283,contract,and,i
284,and,i,hate
285,hate,this,phone
286,phone,car,charger
287,car,charger,as
288,charger,as,well
289,as,ac,charger
290,ac,charger,are
291,charger,are,includ
292,are,includ,to
293,includ,to,make
294,to,make,sure
295,make,sure,you
296,sure,you,never
297,you,never,run
298,never,run,out
299,run,out,of
300,out,of,juic
301,of,juic,highi
302,juic,highi,recommend
303,highi,recommend,you
304,you,need,at
305,need,at,least
306,at,least,min
307,least,min,to
308,min,to,get
309,to,get,to
310,to,your,phone
311,your,phone,book
312,phone,book,from
313,book,from,the
314,from,the,time
315,the,time,you
316,time,you,first
317,you,first,turn
318,first,turn,on
319,turn,on,the
320,the,phone,batteri
321,phone,batteri,life
322,life,is,short
323,it,has,kept
324,has,kept,up
325,kept,up,veri
326,poor,talk,time
327,talk,time,perform
328,case,is,great
329,is,great,and
330,great,and,work
331,and,work,fine
332,work,fine,with
333,fine,with,the
334,worthless,product,it
335,it,has,a
336,has,a,great
337,a,great,camera
338,great,camera,that
339,camera,that,and
340,that,and,the
341,and,the,pic
342,the,pic,are
343,pic,are,nice
344,are,nice,and
345,with,great,pictur
346,great,pictur,qualiti
347,qualiti,i,was
348,was,not,impress
349,not,impress,by
350,impress,by,this
351,by,this,product
352,nice,headset,price
353,headset,price,right
354,i,onli,hear
355,onli,hear,garbag
356,hear,garbag,for
357,garbag,for,audio
358,excel,bluetooth,headset
359,bluetooth,headset,it
360,it,has,all
361,has,all,the
362,the,featur,i
363,featur,i,want
364,who,in,their
365,in,their,right
366,their,right,mind
367,right,mind,is
368,mind,is,gonna
369,is,gonna,buy
370,gonna,buy,this
371,buy,this,batteri
372,after,argu,with
373,argu,with,verizon
374,with,verizon,regard
375,verizon,regard,the
376,regard,the,drop
377,the,drop,call
378,drop,call,we
379,call,we,return
380,we,return,the
381,return,the,phone
382,the,phone,after
383,phone,after,two
384,after,two,day
385,two,day,this
386,this,case,seem
387,case,seem,well
388,seem,well,made
389,disappoint,with,batteri
390,not,loud,enough
391,loud,enough,and
392,enough,and,doesn
393,and,doesn,t
394,doesn,t,turn
395,t,turn,on
396,turn,on,like
397,on,like,it
398,like,it,should
399,protect,and,doe
400,and,doe,not
401,doe,not,make
402,not,make,phone
403,make,phone,too
404,phone,too,bulki
405,a,usabl,keyboard
406,usabl,keyboard,actual
407,keyboard,actual,turn
408,actual,turn,a
409,turn,a,pda
410,a,pda,into
411,into,a,real
412,a,real,world
413,real,world,use
414,world,use,machin
415,use,machin,instead
416,machin,instead,of
417,instead,of,just
418,of,just,a
419,just,a,neat
420,a,neat,gadget
421,phone,is,pretti
422,is,pretti,sturdi
423,pretti,sturdi,and
424,sturdi,and,i
425,i,ve,never
426,ve,never,had
427,never,had,ani
428,had,ani,larg
429,ani,larg,problem
430,larg,problem,with
431,love,this,thing
432,everyth,about,it
433,about,it,is
434,it,is,fine
435,is,fine,and
436,fine,and,reason
437,and,reason,for
438,reason,for,the
439,price,i,e
440,veri,disappoint,i
441,i,even,drop
442,even,drop,this
443,drop,this,phone
444,this,phone,into
445,phone,into,a
446,into,a,stream
447,a,stream,and
448,stream,and,it
449,it,was,submerg
450,was,submerg,for
451,submerg,for,second
452,for,second,and
453,second,and,it
454,and,it,still
455,it,still,work
456,still,work,great
457,great,i,have
458,been,veri,happi
459,with,the,and
460,the,and,have
461,and,have,had
462,have,had,no
463,had,no,complaint
464,no,complaint,from
465,complaint,from,ani
466,from,ani,one
467,ani,one,regard
468,one,regard,my
469,regard,my,sound
470,my,sound,qualiti
471,qualiti,on,their
472,on,their,end
473,their,end,the
474,the,button,for
475,button,for,on
476,for,on,and
477,and,off,are
478,off,are,bad
479,essenti,you,can
480,you,can,forget
481,can,forget,microsoft
482,forget,microsoft,s
483,microsoft,s,tech
484,s,tech,support
485,tech,support,i
486,i,realli,recommend
487,realli,recommend,this
488,recommend,this,facepl
489,this,facepl,sinc
490,facepl,sinc,it
491,sinc,it,look
492,veri,nice,eleg
493,nice,eleg,and
494,eleg,and,cool
495,these,headphon,were
496,headphon,were,a
497,were,a,great
498,a,great,find
499,great,find,and
500,find,and,i
501,and,i,think
502,i,think,they
503,think,they,are
504,they,are,perhap
505,are,perhap,the
506,perhap,the,best
507,the,best,purchas
508,best,purchas,i
509,ve,made,in
510,made,in,the
511,in,the,last
512,the,last,sever
513,last,sever,year
514,sever,year,serious
515,buy,a,differ
516,a,differ,phone
517,differ,phone,but
518,phone,but,not
519,but,not,this
520,not,this,you
521,this,you,have
522,have,to,hold
523,to,hold,the
524,hold,the,phone
525,the,phone,at
526,phone,at,a
527,at,a,particular
528,a,particular,angl
529,particular,angl,for
530,angl,for,the
531,for,the,other
532,the,other,parti
533,other,parti,to
534,parti,to,hear
535,to,hear,you
536,hear,you,clear
537,you,clear,the
538,the,one,big
539,one,big,drawback
540,big,drawback,of
541,drawback,of,the
542,of,the,player
543,the,player,is
544,player,is,that
545,that,the,button
546,the,button,on
547,the,phone,s
548,phone,s,front
549,s,front,cover
550,front,cover,that
551,cover,that,let
552,that,let,you
553,let,you,paus
554,you,paus,and
555,paus,and,skip
556,and,skip,song
557,skip,song,lock
558,song,lock,out
559,lock,out,after
560,out,after,a
561,a,week,later
562,week,later,after
563,later,after,i
564,after,i,activ
565,i,activ,it
566,activ,it,it
567,it,it,sudden
568,it,feel,more
569,feel,more,comfort
570,comfort,than,most
571,than,most,headset
572,most,headset,becaus
573,becaus,i,wear
574,glass,and,that
575,and,that,get
576,that,get,in
577,get,in,the
578,in,the,way
579,the,way,sometim
580,great,for,ipod
581,for,ipod,too
582,this,devic,is
583,devic,is,great
584,is,great,in
585,great,in,sever
586,in,sever,situat
587,mic,doesn,t
588,even,in,my
589,in,my,bmw
590,my,bmw,seri
591,bmw,seri,which
592,seri,which,is
593,which,is,fair
594,is,fair,quiet
595,fair,quiet,i
596,quiet,i,have
597,i,have,troubl
598,have,troubl,hear
599,troubl,hear,what
600,hear,what,the
601,what,the,other
602,the,other,person
603,other,person,is
604,person,is,say
605,is,say,great
606,nice,dock,station
607,dock,station,for
608,station,for,home
609,for,home,or
610,home,or,work
611,work,this,is
612,is,a,beauti
613,a,beauti,phone
614,phone,love,this
615,love,this,product
616,not,buy,for
617,buy,for,wrong
618,for,wrong,advertis
619,for,this,is
620,a,great,littl
621,great,littl,item
622,this,phone,it
623,is,veri,handi
624,veri,handi,and
625,handi,and,has
626,has,a,lot
627,lot,of,featur
628,of,featur,i
629,i,purchas,this
630,purchas,this,and
631,this,and,within
632,and,within,day
633,within,day,it
634,day,it,was
635,it,was,no
636,was,no,longer
637,no,longer,work
638,longer,work,i
639,i,wear,it
640,wear,it,everyday
641,it,everyday,and
642,and,it,hold
643,it,hold,up
644,hold,up,veri
645,up,veri,well
646,veri,well,not
647,a,good,bargain
648,well,packag,arriv
649,packag,arriv,on
650,arriv,on,time
651,and,work,as
652,work,as,intend
653,the,batteri,run
654,batteri,run,down
655,run,down,quick
656,this,item,work
657,item,work,great
658,work,great,but
659,great,but,it
660,but,it,broke
661,it,broke,after
662,broke,after,month
663,after,month,of
664,of,use,the
665,use,the,headset
666,the,headset,are
667,headset,are,easi
668,are,easi,to
669,use,and,everyon
670,and,everyon,love
671,everyon,love,them
672,this,phone,work
673,phone,work,great
674,the,construct,of
675,of,the,headset
676,the,headset,is
677,headset,is,poor
678,product,was,excel
679,was,excel,and
680,excel,and,work
681,and,work,better
682,work,better,than
683,than,the,verizon
684,the,verizon,one
685,verizon,one,and
686,one,and,boy
687,and,boy,was
688,boy,was,it
689,was,it,cheaper
690,it,cheaper,the
691,the,phone,load
692,phone,load,super
693,super,for,a
694,for,a,product
695,a,product,that
696,product,that,cost
697,that,cost,as
698,cost,as,much
699,as,much,as
700,as,this,one
701,this,one,doe
702,one,doe,i
703,doe,i,expect
704,i,expect,it
705,expect,it,to
706,it,to,work
707,to,work,far
708,work,far,better
709,far,better,and
710,better,and,with
711,and,with,greater
712,with,greater,eas
713,greater,eas,than
714,eas,than,this
715,than,this,thing
716,this,thing,doe
717,made,veri,sturdi
718,work,great,the
719,great,the,ear
720,the,ear,bud
721,ear,bud,onli
722,bud,onli,play
723,onli,play,music
724,play,music,in
725,music,in,one
726,in,one,ear
727,your,money,will
728,will,order,from
729,again,if,you
730,if,you,plan
731,use,this,in
732,this,in,a
733,in,a,car
734,a,car,forget
735,car,forget,about
736,forget,about,it
737,about,it,i
738,it,i,found
739,this,product,to
740,to,be,waaay
741,be,waaay,too
742,waaay,too,big
743,best,i,ve
744,ve,found,so
745,far,i,ve
746,ve,tri,other
747,tri,other,bluetooth
748,other,bluetooth,and
749,bluetooth,and,this
750,and,this,one
751,this,one,has
752,one,has,the
753,the,best,qualiti
754,best,qualiti,for
755,qualiti,for,both
756,for,both,me
757,both,me,and
758,me,and,the
759,and,the,listen
760,the,listen,as
761,as,eas,of
762,of,use,i
763,m,veri,disappoint
764,veri,disappoint,with
765,disappoint,with,my
766,with,my,decis
767,integr,seamless,with
768,seamless,with,the
769,with,the,motorola
770,the,motorola,razr
771,motorola,razr,phone
772,buyer,bewar,you
773,bewar,you,could
774,you,could,flush
775,could,flush,money
776,flush,money,right
777,money,right,down
778,right,down,the
779,down,the,toilet
780,definit,a,bargain
781,a,bargain,the
782,the,price,was
783,price,was,veri
784,was,veri,good
785,good,and,with
786,with,the,free
787,the,free,ship
788,free,ship,and
789,ship,and,all
790,and,all,it
791,all,it,was
792,a,good,purchas
793,good,purchas,i
794,receiv,my,suppos
795,my,suppos,new
796,suppos,new,motorola
797,new,motorola,and
798,motorola,and,appar
799,and,appar,there
800,appar,there,was
801,there,was,not
802,was,not,a
803,not,a,match
804,a,match,between
805,match,between,the
806,between,the,phone
807,and,the,charger
808,pros,good,camera
809,good,camera,veri
810,camera,veri,nice
811,veri,nice,pictur
812,nice,pictur,also
813,pictur,also,has
814,also,has,cool
815,has,cool,style
816,cool,style,like
817,style,like,black
818,like,black,and
819,black,and,white
820,and,white,and
821,and,more,that
822,that,s,a
823,s,a,huge
824,a,huge,design
825,huge,design,flaw
826,design,flaw,unless
827,flaw,unless,i
828,unless,i,m
829,m,not,use
830,use,it,correct
831,it,correct,which
832,correct,which,i
833,which,i,don
834,t,think,is
835,think,is,the
836,i,love,my
837,love,my,headset
838,my,headset,my
839,headset,is,great
840,great,the,recept
841,veri,good,and
842,good,and,the
843,and,the,ear
844,ear,piec,is
845,piec,is,a
846,is,a,comfort
847,a,comfort,fit
848,comfort,fit,the
849,the,camera,although
850,camera,although,rate
851,although,rate,at
852,rate,at,an
853,at,an,impress
854,an,impress,megapixel
855,impress,megapixel,render
